checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property,age,other_payment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,class
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,Has-Support,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,2,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A191,*,bad
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Non-Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A192,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Multiple,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
*,*,*,*,*,*,*,*,*,None,*,*,*,*,Owner,Single,*,1,A191,*,good
